order_id,customer_id,order_datetime,modified_datetime,product_id,quantity,unit_price,discount,order_status,shipping_country
O0030,C030,2026-07-08T15:00:00,2026-07-08T15:39:00,P006,2,79.0,0.05,CANCELLED,VN
O0031,C001,2026-07-08T21:00:00,2026-07-08T21:40:00,P007,3,149.0,0.1,NEW,SG
O0032,C002,2026-07-09T03:00:00,2026-07-09T03:41:00,P008,4,49.0,0.15,PROCESSING,MY
O0033,C003,2026-07-09T09:00:00,2026-07-09T09:42:00,P001,1,29.9,0.0,SHIPPED,ID
O0034,C004,2026-07-09T15:00:00,2026-07-09T15:43:00,P002,2,39.9,0.05,DELIVERED,TH
O0035,C005,2026-07-09T21:00:00,2026-07-09T21:44:00,P003,3,89.0,0.1,CANCELLED,VN
O0036,C006,2026-07-10T03:00:00,2026-07-10T03:45:00,P004,4,129.0,0.15,NEW,SG
O0037,C007,2026-07-10T09:00:00,2026-07-10T09:46:00,P005,1,399.0,0.0,PROCESSING,MY
O0038,C008,2026-07-10T15:00:00,2026-07-10T15:47:00,P006,2,79.0,0.05,SHIPPED,ID
O0039,C009,2026-07-10T21:00:00,2026-07-10T21:48:00,P007,3,149.0,0.1,DELIVERED,TH
O0040,C010,2026-07-11T03:00:00,2026-07-11T03:49:00,P008,4,49.0,0.15,CANCELLED,VN
O0041,C011,2026-07-11T09:00:00,2026-07-11T09:50:00,P001,1,29.9,0.0,NEW,SG
O0042,C012,2026-07-11T15:00:00,2026-07-11T15:51:00,P002,2,39.9,0.05,PROCESSING,MY
O0043,C013,2026-07-11T21:00:00,2026-07-11T21:52:00,P003,3,89.0,0.1,SHIPPED,ID
O0044,C014,2026-07-12T03:00:00,2026-07-12T03:53:00,P004,4,129.0,0.15,DELIVERED,TH
O0045,C015,2026-07-12T09:00:00,2026-07-12T09:54:00,P005,1,399.0,0.0,CANCELLED,VN
O0046,C016,2026-07-12T15:00:00,2026-07-12T15:55:00,P006,2,79.0,0.05,NEW,SG
O0047,C017,2026-07-12T21:00:00,2026-07-12T21:56:00,P007,3,149.0,0.1,PROCESSING,MY
O0048,C018,2026-07-13T03:00:00,2026-07-13T03:57:00,P008,4,49.0,0.15,SHIPPED,ID
O0049,C019,2026-07-13T09:00:00,2026-07-13T09:58:00,P001,1,29.9,0.0,DELIVERED,TH
O0050,C020,2026-07-13T15:00:00,2026-07-13T15:59:00,P002,2,39.9,0.05,CANCELLED,VN
O0051,C021,2026-07-13T21:00:00,2026-07-13T21:10:00,P003,3,89.0,0.1,NEW,SG
O0052,C022,2026-07-14T03:00:00,2026-07-14T03:11:00,P004,4,129.0,0.15,PROCESSING,MY
O0053,C023,2026-07-14T09:00:00,2026-07-14T09:12:00,P005,1,399.0,0.0,SHIPPED,ID
O0054,C024,2026-07-14T15:00:00,2026-07-14T15:13:00,P006,2,79.0,0.05,DELIVERED,TH
O0055,C025,2026-07-14T21:00:00,2026-07-14T21:14:00,P007,3,149.0,0.1,CANCELLED,VN
O0056,C026,2026-07-15T03:00:00,2026-07-15T03:15:00,P008,4,49.0,0.15,NEW,SG
O0057,C027,2026-07-15T09:00:00,2026-07-15T09:16:00,P001,1,29.9,0.0,PROCESSING,MY
O0058,C028,2026-07-15T15:00:00,2026-07-15T15:17:00,P002,2,39.9,0.05,SHIPPED,ID
O0059,C029,2026-07-15T21:00:00,2026-07-15T21:18:00,P003,3,89.0,0.1,DELIVERED,TH
O0060,C030,2026-07-16T03:00:00,2026-07-16T03:19:00,P004,4,129.0,0.15,CANCELLED,VN
O0061,C001,2026-07-16T09:00:00,2026-07-16T09:20:00,P005,1,399.0,0.0,NEW,SG
O0062,C002,2026-07-16T15:00:00,2026-07-16T15:21:00,P006,2,79.0,0.05,PROCESSING,MY
O0063,C003,2026-07-16T21:00:00,2026-07-16T21:22:00,P007,3,149.0,0.1,SHIPPED,ID
O0064,C004,2026-07-17T03:00:00,2026-07-17T03:23:00,P008,4,49.0,0.15,DELIVERED,TH
O0065,C005,2026-07-17T09:00:00,2026-07-17T09:24:00,P001,1,29.9,0.0,CANCELLED,VN
O0066,C006,2026-07-17T15:00:00,2026-07-17T15:25:00,P002,2,39.9,0.05,NEW,SG
O0067,C007,2026-07-17T21:00:00,2026-07-17T21:26:00,P003,3,89.0,0.1,PROCESSING,MY
O0068,C008,2026-07-18T03:00:00,2026-07-18T03:27:00,P004,4,129.0,0.15,SHIPPED,ID
O0069,C009,2026-07-18T09:00:00,2026-07-18T09:28:00,P005,1,399.0,0.0,DELIVERED,TH
O0070,C010,2026-07-18T15:00:00,2026-07-18T15:29:00,P006,2,79.0,0.05,CANCELLED,VN
O0071,C011,2026-07-18T21:00:00,2026-07-18T21:30:00,P007,3,149.0,0.1,NEW,SG
O0072,C012,2026-07-19T03:00:00,2026-07-19T03:31:00,P008,4,49.0,0.15,PROCESSING,MY
O0073,C013,2026-07-19T09:00:00,2026-07-19T09:32:00,P001,1,29.9,0.0,SHIPPED,ID
O0074,C014,2026-07-19T15:00:00,2026-07-19T15:33:00,P002,2,39.9,0.05,DELIVERED,TH
O0075,C015,2026-07-19T21:00:00,2026-07-19T21:34:00,P003,3,89.0,0.1,CANCELLED,VN
O0076,C016,2026-07-20T03:00:00,2026-07-20T03:35:00,P004,4,129.0,0.15,NEW,SG
O0077,C017,2026-07-20T09:00:00,2026-07-20T09:36:00,P005,1,399.0,0.0,PROCESSING,MY
O0078,C018,2026-07-20T15:00:00,2026-07-20T15:37:00,P006,2,79.0,0.05,SHIPPED,ID
O0079,C019,2026-07-20T21:00:00,2026-07-20T21:38:00,P007,3,149.0,0.1,DELIVERED,TH
O0080,C020,2026-07-21T03:00:00,2026-07-21T03:39:00,P008,4,49.0,0.15,CANCELLED,VN
O0081,C021,2026-07-21T09:00:00,2026-07-21T09:40:00,P001,1,29.9,0.0,NEW,SG
O0082,C022,2026-07-21T15:00:00,2026-07-21T15:41:00,P002,2,39.9,0.05,PROCESSING,MY
O0083,C023,2026-07-21T21:00:00,2026-07-21T21:42:00,P003,3,89.0,0.1,SHIPPED,ID
O0084,C024,2026-07-22T03:00:00,2026-07-22T03:43:00,P004,4,129.0,0.15,DELIVERED,TH
O0085,C025,2026-07-22T09:00:00,2026-07-22T09:44:00,P005,1,399.0,0.0,CANCELLED,VN
O0086,C026,2026-07-22T15:00:00,2026-07-22T15:45:00,P006,2,79.0,0.05,NEW,SG
O0087,C027,2026-07-22T21:00:00,2026-07-22T21:46:00,P007,3,149.0,0.1,PROCESSING,MY
O0088,C028,2026-07-23T03:00:00,2026-07-23T03:47:00,P008,4,49.0,0.15,SHIPPED,ID
O0089,C029,2026-07-23T09:00:00,2026-07-23T09:48:00,P001,1,29.9,0.0,DELIVERED,TH
O0090,C030,2026-07-23T15:00:00,2026-07-23T15:49:00,P002,2,39.9,0.05,CANCELLED,VN
O0091,C001,2026-07-23T21:00:00,2026-07-23T21:50:00,P003,3,89.0,0.1,NEW,SG
O0092,C002,2026-07-24T03:00:00,2026-07-24T03:51:00,P004,4,129.0,0.15,PROCESSING,MY
O0093,C003,2026-07-24T09:00:00,2026-07-24T09:52:00,P005,1,399.0,0.0,SHIPPED,ID
O0094,C004,2026-07-24T15:00:00,2026-07-24T15:53:00,P006,2,79.0,0.05,DELIVERED,TH
O0095,C005,2026-07-24T21:00:00,2026-07-24T21:54:00,P007,3,149.0,0.1,CANCELLED,VN
O0096,C006,2026-07-25T03:00:00,2026-07-25T03:55:00,P008,4,49.0,0.15,NEW,SG
O0097,C007,2026-07-25T09:00:00,2026-07-25T09:56:00,P001,1,29.9,0.0,PROCESSING,MY
O0098,C008,2026-07-25T15:00:00,2026-07-25T15:57:00,P002,2,39.9,0.05,SHIPPED,ID
O0099,C009,2026-07-25T21:00:00,2026-07-25T21:58:00,P003,3,89.0,0.1,DELIVERED,TH
O0100,C010,2026-07-26T03:00:00,2026-07-26T03:59:00,P004,4,129.0,0.15,CANCELLED,VN
O0101,C011,2026-07-26T09:00:00,2026-07-26T09:10:00,P005,1,399.0,0.0,NEW,SG
O0102,C012,2026-07-26T15:00:00,2026-07-26T15:11:00,P006,2,79.0,0.05,PROCESSING,MY
O0103,C013,2026-07-26T21:00:00,2026-07-26T21:12:00,P007,3,149.0,0.1,SHIPPED,ID
O0104,C014,2026-07-27T03:00:00,2026-07-27T03:13:00,P008,4,49.0,0.15,DELIVERED,TH
O0105,C015,2026-07-27T09:00:00,2026-07-27T09:14:00,P001,1,29.9,0.0,CANCELLED,VN
O0106,C016,2026-07-27T15:00:00,2026-07-27T15:15:00,P002,2,39.9,0.05,NEW,SG
O0107,C017,2026-07-27T21:00:00,2026-07-27T21:16:00,P003,3,89.0,0.1,PROCESSING,MY
O0108,C018,2026-07-28T03:00:00,2026-07-28T03:17:00,P004,4,129.0,0.15,SHIPPED,ID
O0109,C019,2026-07-28T09:00:00,2026-07-28T09:18:00,P005,1,399.0,0.0,DELIVERED,TH
O0110,C020,2026-07-28T15:00:00,2026-07-28T15:19:00,P006,2,79.0,0.05,CANCELLED,VN
O0111,C021,2026-07-28T21:00:00,2026-07-28T21:20:00,P007,3,149.0,0.1,NEW,SG
O0112,C022,2026-07-29T03:00:00,2026-07-29T03:21:00,P008,4,49.0,0.15,PROCESSING,MY
O0113,C023,2026-07-29T09:00:00,2026-07-29T09:22:00,P001,1,29.9,0.0,SHIPPED,ID
O0114,C024,2026-07-29T15:00:00,2026-07-29T15:23:00,P002,2,39.9,0.05,DELIVERED,TH
O0115,C025,2026-07-29T21:00:00,2026-07-29T21:24:00,P003,3,89.0,0.1,CANCELLED,VN
O0116,C026,2026-07-30T03:00:00,2026-07-30T03:25:00,P004,4,129.0,0.15,NEW,SG
O0117,C027,2026-07-30T09:00:00,2026-07-30T09:26:00,P005,1,399.0,0.0,PROCESSING,MY
O0118,C028,2026-07-30T15:00:00,2026-07-30T15:27:00,P006,2,79.0,0.05,SHIPPED,ID
O0119,C029,2026-07-30T21:00:00,2026-07-30T21:28:00,P007,3,149.0,0.1,DELIVERED,TH
O0120,C030,2026-07-31T03:00:00,2026-07-31T03:29:00,P008,4,49.0,0.15,CANCELLED,VN
